Date,Close,NominalReturn_LUATTRUU
2013/01,2047.89,-0.0080744
2013/02,2058.71,0.0052835
2013/03,2060.73,0.0009812
2013/04,2079.05,0.0088901
2013/05,2043.55,-0.0170751
2013/06,2021.06,-0.0110054
2013/07,2018.86,-0.0010885
2013/08,2009.05,-0.0048592
2013/09,2023.1,0.0069934
2013/10,2032.86,0.0048243
2013/11,2026.21,-0.0032713
2013/12,2007.83,-0.0090711
2014/01,2035.07,0.0135669
2014/02,2040.61,0.0027223
2014/03,2034.78,-0.002857
2014/04,2046.01,0.005519
2014/05,2065.28,0.0094183
2014/06,2062.34,-0.0014235
2014/07,2058.98,-0.0016292
2014/08,2080.7,0.0105489
2014/09,2069.31,-0.0054741
2014/10,2089.47,0.0097424
2014/11,2106.32,0.0080642
2014/12,2109.32,0.0014243
2015/01,2163.88,0.0258662
2015/02,2130.46,-0.0154445
2015/03,2143.9,0.0063085
2015/04,2132.62,-0.0052614
2015/05,2128.78,-0.0018006
2015/06,2109.99,-0.0088267
2015/07,2127.58,0.0083365
2015/08,2128.51,0.0004371
2015/09,2147.19,0.0087761
2015/10,2139.33,-0.0036606
2015/11,2130.58,-0.0040901
2015/12,2127.09,-0.0016381
2016/01,2172.39,0.0212967
2016/02,2191.75,0.0089118
2016/03,2195.22,0.0015832
2016/04,2192.91,-0.0010523
2016/05,2192.85,-0.0000274
2016/06,2241.26,0.0220763
2016/07,2250.34,0.0040513
2016/08,2237.97,-0.0054969
2016/09,2235.01,-0.0013226
2016/10,2210.41,-0.0110067
2016/11,2151.43,-0.0266828
2016/12,2149.16,-0.0010551
2017/01,2154.02,0.0022613
2017/02,2164.65,0.004935
2017/03,2163.66,-0.0004573
2017/04,2178.69,0.0069466
2017/05,2192.91,0.0065269
2017/06,2189.36,-0.0016189
2017/07,2193.01,0.0016672
2017/08,2216.75,0.0108253
2017/09,2197.75,-0.0085711
2017/10,2195.09,-0.0012103
2017/11,2192.07,-0.0013758
2017/12,2198.84,0.0030884
2018/01,2168.97,-0.0135844
2018/02,2152.63,-0.0075335
2018/03,2172.93,0.0094303
2018/04,2155.33,-0.0080997
2018/05,2174.68,0.0089777
2018/06,2175.13,0.0002069
2018/07,2166.03,-0.0041837
2018/08,2182.6,0.0076499
2018/09,2162.22,-0.0093375
2018/10,2151.89,-0.0047775
2018/11,2170.99,0.0088759
2018/12,2217.7,0.0215155
2019/01,2228.14,0.0047076
2019/02,2222.1,-0.0027108
2019/03,2264.52,0.01909
2019/04,2258.24,-0.0027732
2019/05,2311.31,0.0235006
2019/06,2332.64,0.0092285
2019/07,2329.89,-0.0011789
2019/08,2409.1,0.0339973
2019/09,2388.72,-0.0084596
2019/10,2390.35,0.0006824
2019/11,2383.16,-0.0030079
2019/12,2369.78,-0.0056144
2020/01,2427.69,0.0244369
2020/02,2492.04,0.0265067
2020/03,2564.12,0.0289241
2020/04,2580.43,0.0063609
2020/05,2573.89,-0.0025345
2020/06,2576.3,0.0009363
2020/07,2605.74,0.0114272
2020/08,2577.2,-0.0109527
2020/09,2580.77,0.0013852
2020/10,2556.44,-0.0094274
2020/11,2565.34,0.0034814
2020/12,2559.4,-0.0023155
2021/01,2534.92,-0.0095647
2021/02,2488.92,-0.0181465
2021/03,2450.55,-0.0154163
2021/04,2468.93,0.0075004
2021/05,2477.44,0.0034468
2021/06,2493.36,0.006426
2021/07,2527.29,0.0136081
2021/08,2522.86,-0.0017529
2021/09,2495.52,-0.0108369
2021/10,2493.76,-0.0007053
2021/11,2512.85,0.0076551
2021/12,2499.95,-0.0051336
2022/01,2452.59,-0.0189444
2022/02,2436.43,-0.006589
2022/03,2360.57,-0.0311357
2022/04,2287.44,-0.0309798
2022/05,2291.62,0.0018274
2022/06,2271.46,-0.0087973
2022/07,2307.67,0.0159413
2022/08,2250.42,-0.0248086
2022/09,2172.7,-0.0345358
2022/10,2142.42,-0.0139366
2022/11,2199.79,0.0267781
2022/12,2188.39,-0.0051823
2023/01,2243.23,0.0250595
2023/02,2190.74,-0.0233993
2023/03,2254.15,0.0289446
2023/04,2266.23,0.005359
2023/05,2239.92,-0.0116096
2023/06,2223.1,-0.0075092
2023/07,2215.23,-0.0035401
2023/08,2203.75,-0.0051823
2023/09,2155.06,-0.0220942
2023/10,2129.02,-0.0120832
2023/11,2202.96,0.0347296
2023/12,2277.09,0.0336502
